Unnamed: 0
"Пахота зяби под мн тр

2-е диск под оз ячмень 
По Пу 61/352
Отд 11 32/32
Отд 12 29/219

Диск Кук силос
По Пу 119/338
Отд 12 37/37
Отд 17 82/301

Выравн мн тр под оз пш
Отд 11 44/99

Пахота под мн тр
По Пу 16/340
Отд 11 16/169

Пахота под сах св
Отд 12 22/59

Чизел под оз ячмень
(дракула)
По Пу 91/222
Отд 12 91/91

Прикат под оз ячмень
По Пу 49/141 
Отд 12 40/40
Отд 16 9/101"
"19.07
Внесение мин удобрений под сах свёклу 2025 г ПУ Юг- 120/857

Отд 16- 120/551"
"19.07

Внесение минеральных удобрений под оз ячмень ПУ Юг 242/562
Отд 11-242/242"
"Север 
Отд7 пах с св 41/501
Отд20 20/281 по пу 61/793
Отд 3 пах подс.60/231
По пу 231

Диск к. Сил отд 7. 32/352
Пу- 484
Диск под Оз п езубов 20/281
Диск под с. Св отд 10 83/203 пу-1065га"
"Внесение удобрений под рапс отд 7 -138/270
Дисклвание под рапс 40/172
Диск после Кук сил отд 7-32/352 по пу 484га"
"Диск оз пшеницы 
По Пу 35/8532
Отд 17 35/1828

2-е диск под сах св
По Пу 97/914
Отд 16 97/691

2-е диск под оз ячмень 
По Пу 117/469
Отд 11 117/149

2-е диск под рапс
По ПУ 29/142
Отд 16 29/29

Диск Кук силос
По Пу 142/480
Отд 12 75/112
Отд 17 67/368

Пахота под мн тр
По Пу 21/361
Отд 11 18/187
Отд 17 3/3

Пахота под сах св
Отд 12 22/81

Чизел под оз ячмень
(дракула)
По Пу 64/286
Отд 12 64/155"
"Диск оз пшеницы 
По Пу 95/8627
Отд 17 95/1923

2-е диск под сах св
По Пу 151/1065
Отд 16 151/842

2-е диск под оз ячмень 
По Пу 136/605
Отд 11 70/219
Отд 11 66/285

2-е диск под рапс
По ПУ 60/202
Отд 16 60/89

Пахота под мн тр
По Пу 25/386
Отд 17 25/28

Пахота под сах св
Отд 12 24/105

Чизел под оз ячмень
